3,912,8,2
3,960,0,10
6,920,1,0
6,925,0,1
3,912,6,4
3,944,3,7
3,912,5,5
3,944,3,7
3,920,3,7
3,944,5,5
6,928,1,0
6,932,0,1
6,928,0,1
6,932,0,1
3,912,9,1
3,944,4,6
6,912,1,0
6,928,0,1
6,924,1,0
6,928,0,1
6,916,1,0
6,928,0,1
6,924,1,0
6,928,0,1
6,924,1,0
6,928,0,1
6,924,1,0
6,928,1,0
6,924,1,0
6,928,0,1
6,924,1,0
6,928,0,1
3,896,10,0
3,960,0,10
3,896,9,1
3,960,3,7
